CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,CrimeHead,CrimeSubHead,PoliceStation,PoliceStationType,District,Court,EmployeeID,Officer,OfficerRank,OfficerDesignation,Status,CaseCategory,Gravity,AccusedCount,AccusedNames,VictimCount,VictimNames,Complainant,ArrestCount,ChargesheetCount,LatestChargesheetDate,ChargesheetStatus,Acts,Sections,InfoReceivedPSDate,IncidentFromDate,IncidentToDate,Latitude,Longitude,BriefFacts
375,1.0001e+17,202600009,2026-06-26,Economic Offences,Criminal Breach of Trust,Ashok Nagar Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,349,Wahab,Inspector of Police,Cyber Cell Officer,Under Investigation,FIR,Non-Heinous,0,,1,Victor Kumer,Darpan Nayar,0,0,,Pending,BNS,Cheating; Mischief,2026-06-24 05:00:00,2026-06-23 13:00:00,2026-06-23 17:00:00,13.033753,77.592535,Fuga sunt odit vero aspernatur ratione suscipit voluptatem temporibus porro vero eos molestiae voluptas tempore laborum esse labore dicta.
376,1.0001e+17,202600006,2026-04-23,Crimes Against Property,Burglary/House-breaking,Jeevan Bima Nagar Police Station,Police Station,Bangalore Urban,City Civil Court Bengaluru,51,Reyansh,Police Constable,Beat Constable,Disposed by Court,FIR,Non-Heinous,0,,1,Waida Bhavsar,Harinakshi Sarma,0,1,2026-05-21,Filed,BNS,Burglary; Robbery,2026-04-20 20:00:00,2026-04-20 10:00:00,2026-04-20 13:00:00,13.037037,77.587927,Molestiae rem dolores odit aperiam quos laudantium hic dolore accusamus doloribus ipsa voluptatem suscipit praesentium ducimus quidem voluptatum nulla.
377,1.0001e+17,202600010,2026-03-11,Crimes Against Public Order,Public Nuisance,Frazer Town Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,425,Faras,Sub-Inspector (SI),Crime Branch Officer,Pending Trial,FIR,Non-Heinous,2,Hema Pandya; Darpan Handa,0,,Mohammed Wali,2,0,,Pending,BNS,Criminal Intimidation,2026-03-08 20:00:00,2026-03-08 06:00:00,2026-03-08 09:00:00,12.892813,77.650152,Sint inventore cupiditate aut minima expedita magnam autem explicabo magnam assumenda magnam saepe nihil consectetur occaecati assumenda consequuntur.
378,1.0001e+17,202600005,2026-04-02,Crimes Against Property,Robbery,Bharathi Nagar Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,432,Kamya,Police Constable,Traffic Officer,Undetected,FIR,Non-Heinous,1,Umang Mammen,0,,Chandani Bhagat,1,0,,Pending,BNS,Robbery; Theft,2026-04-01 06:00:00,2026-03-31 20:00:00,2026-04-01 02:00:00,13.009708,77.46214,Dolor cum totam doloribus aperiam autem expedita quia assumenda optio suscipit eum quibusdam minima.
379,1.0001e+17,202600008,2026-04-24,Economic Offences,Criminal Breach of Trust,Cubbon Park Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,295,Varenya,Head Constable,Station House Officer (SHO),Charge Sheeted,FIR,Non-Heinous,2,Anmol Bajwa; Reyansh Barman,1,Nachiket Banerjee,Ayushman Balasubramanian,1,1,2026-07-15,Filed,BNS,Cheating; Mischief,2026-04-22 14:00:00,2026-04-22 06:00:00,2026-04-22 07:00:00,12.941801,77.654015,Veritatis hic corrupti repudiandae deleniti beatae libero quasi dicta pariatur vero magni voluptatem provident unde a minus molestiae magni quis quisquam voluptatem commodi.
380,1.0001e+17,202600007,2026-04-05,Narcotics & NDPS,Illicit Liquor,CEN PS Cyber Crime Whitefield,CEN Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,480,Vivaan,Police Constable,Traffic Officer,Undetected,FIR,Non-Heinous,1,Faqid Vaidya,2,Anjali Kapadia; Shivansh Arora,Devika Radhakrishnan,1,0,,Pending,NDPS Act,Consumption of Narcotic Drug,2026-04-03 00:00:00,2026-04-02 08:00:00,2026-04-02 14:00:00,12.932121,77.45463,Vitae doloremque fuga eaque assumenda officia ipsam iste similique blanditiis explicabo nesciunt inventore impedit nihil.
381,1.0001e+17,202600004,2026-01-04,Crimes Against Public Order,Public Nuisance,Banashankari Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,226,Wazir,Asst Sub-Inspector (ASI),Investigating Officer (IO),Closed - False Case,FIR,Non-Heinous,1,Charles Bhargava,1,Mason Gole,Gaurika Rajagopalan,0,1,2026-03-15,Filed,BNS,Criminal Intimidation,2026-01-02 05:00:00,2026-01-01 16:00:00,2026-01-01 22:00:00,12.85749,77.48093,Nobis voluptate debitis tempore quidem ipsam sed enim hic nemo.
382,1.0001e+17,202600006,2026-02-24,Crimes Against Body,Kidnapping,Bharathi Nagar Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,431,Andrew,Police Constable,Women's Cell Officer,Undetected,FIR,Heinous,1,Tristan Rai,0,,Jacob Mand,1,0,,Pending,BNS,Attempt to Murder; Grievous Hurt; Murder,2026-02-24 14:00:00,2026-02-23 21:00:00,2026-02-24 02:00:00,12.891921,77.676753,Ratione quis eveniet ea explicabo facilis aperiam quae tempora laboriosam id praesentium quis excepturi quibusdam suscipit doloremque inventore doloremque tenetur vel ut mollitia.
383,1.0001e+17,202600007,2026-01-03,Crimes Against Property,Theft,Jayanagar Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,255,Leena,Police Constable,Beat Constable,Under Investigation,FIR,Non-Heinous,0,,1,Zinal Wali,Yug Patla,0,0,,Pending,BNS,Robbery,2026-01-02 11:00:00,2026-01-02 02:00:00,2026-01-02 05:00:00,12.965396,77.695366,Adipisci totam a delectus tempora impedit sint eligendi vitae consequatur nam cum dolorum explicabo optio.
384,1.0001e+17,202600008,2026-02-17,Economic Offences,Forgery,K.G. Halli Police Station,Police Station,Bangalore Urban,Court of ACMM Bengaluru,417,Vritti,Head Constable,Beat Constable,Under Investigation,FIR,Non-Heinous,1,Bakhshi Dayal,1,Yatin Atwal,Akshay Kala,1,0,,Pending,BNS,Cheating; Mischief,2026-02-14 08:00:00,2026-02-14 03:00:00,2026-02-14 06:00:00,12.952206,77.73426,Deleniti assumenda ducimus voluptas et eligendi minima alias ratione quod esse adipisci tempore repellat quisquam distinctio veritatis odit adipisci voluptatem praesentium delectus tempora nisi.
385,1.0001e+17,202600009,2026-05-30,Crimes Against Body,Assault,Madivala Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,277,Hardik,Police Constable,Traffic Officer,Disposed by Court,FIR,Non-Heinous,2,Jagvi Sarraf; Nidhi Agrawal,0,,Jackson Taneja; Qushi Lad,1,1,2026-07-20,Filed,BNS,Grievous Hurt; Murder,2026-05-30 02:00:00,2026-05-29 14:00:00,2026-05-29 15:00:00,12.946368,77.731635,Sequi molestiae ratione animi voluptatibus mollitia cum voluptates laboriosam corrupti suscipit asperiores quibusdam debitis accusantium consequatur quos non autem sint provident tenetur nemo nisi.
386,1.0001e+17,202600009,2026-02-24,Crimes Against Property,Robbery,Whitefield Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,72,Xavier,Police Constable,Crime Branch Officer,Charge Sheeted,FIR,Non-Heinous,1,Aarini Taneja,3,Meera Handa; Hardik Sidhu; Lakshit Kannan,Christopher Ramanathan; Tanveer Mohanty,0,1,2026-04-14,Filed,BNS,Burglary; Dacoity; Robbery,2026-02-23 06:00:00,2026-02-22 22:00:00,2026-02-23 00:00:00,12.976956,77.557486,Nulla neque rem quos consequuntur blanditiis blanditiis quidem asperiores voluptates eligendi nihil sed velit eveniet.
387,1.0001e+17,202600009,2026-05-10,Narcotics & NDPS,Possession of Narcotics,Girinagar Police Station,Police Station,Bangalore Urban,City Civil Court Bengaluru,245,Shaurya,Asst Sub-Inspector (ASI),Crime Branch Officer,Charge Sheeted,FIR,Heinous,1,Isaac Vohra,1,Krisha Barad,Falan Mukherjee,1,1,2026-07-23,Filed,NDPS Act,Consumption of Narcotic Drug; Possession of Manufactured Drugs; Possession/Sale of Cannabis,2026-05-08 06:00:00,2026-05-07 19:00:00,2026-05-07 23:00:00,12.926632,77.611889,Neque facere quidem occaecati aperiam alias dignissimos quis aspernatur distinctio at.
388,1.0001e+17,202600008,2026-05-03,Crimes Against Women,Domestic Violence,Jayanagar Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,252,Agastya,Police Sub-Inspector (PSI),Women's Cell Officer,Charge Sheeted,FIR,Non-Heinous,1,Gaurang Kohli,1,Vasudha Deep,Yasti Kapur,1,1,2026-06-16,Filed,BNS; POCSO,Assault on Woman; Penetrative Sexual Assault; 79,2026-05-02 04:00:00,2026-05-01 23:00:00,2026-05-02 04:00:00,12.860181,77.710689,Eaque laudantium magnam eaque blanditiis in repellat consequuntur modi repellat necessitatibus expedita unde quos voluptatum error laborum ipsum.
389,1.0001e+17,202600010,2026-05-26,Crimes Against Body,Attempt to Murder,Madivala Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,276,Raghav,Police Sub-Inspector (PSI),Traffic Officer,Under Investigation,FIR,Non-Heinous,1,Azaan Mohan,1,Harrison Mitra,Warda Samra,1,0,,Pending,BNS,Attempt to Murder; Grievous Hurt; Murder,2026-05-23 06:00:00,2026-05-23 01:00:00,2026-05-23 05:00:00,13.028433,77.534633,Praesentium hic esse fugit veritatis cupiditate optio commodi minima corporis voluptate quos.
390,1.0001e+17,202600008,2026-04-05,Crimes Against Body,Assault,Koramangala Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,271,Fiyaz,Police Constable,Reserve Sub-Inspector,Charge Sheeted,FIR,Heinous,3,Arin Magar; Jeet Das; Nitesh Chandran,1,Sudiksha Krishnan,Ayaan Dua; Karan Kulkarni,2,1,2026-06-10,Filed,BNS,Attempt to Murder; Grievous Hurt; Murder,2026-04-04 08:00:00,2026-04-04 01:00:00,2026-04-04 02:00:00,13.01661,77.491607,Dicta nisi dolorem quasi commodi vero cumque at a repudiandae doloribus accusamus eveniet tempore quae voluptatem.
391,1.0001e+17,202600009,2026-05-03,Crimes Against Women,Domestic Violence,Basavanagudi Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,231,Balvan,Sub-Inspector (SI),Station House Officer (SHO),Charge Sheeted,FIR,Heinous,1,Darsh Balan,2,Hemangini Varma; Udant Pillay,Isaiah Sidhu,1,1,2026-06-04,Filed,BNS; POCSO,Assault on Woman; Penetrative Sexual Assault,2026-04-30 14:00:00,2026-04-30 11:00:00,2026-04-30 12:00:00,12.923792,77.730356,Accusamus saepe consequatur delectus facilis eos dignissimos ut quaerat earum eveniet ducimus non.
392,1.0001e+17,202600011,2026-02-13,Crimes Against Property,Robbery,Sanjaynagar Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,167,Osha,Police Sub-Inspector (PSI),Women's Cell Officer,Undetected,FIR,Non-Heinous,2,Neel Chad; Jatin Sachdev,2,Ryan Konda; Owen Misra,Kabir Desai,1,0,,Pending,BNS,Robbery; Theft,2026-02-12 18:00:00,2026-02-12 01:00:00,2026-02-12 06:00:00,13.080472,77.467515,Maiores deserunt totam minus itaque ea fugiat voluptatem illo rem commodi nobis earum doloremque esse id officia illum similique culpa sequi ipsa recusandae.
393,1.0001e+17,202600008,2026-04-22,Crimes Against Body,Kidnapping,Halasuru Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,46,Ekapad,Police Sub-Inspector (PSI),Women's Cell Officer,Under Investigation,FIR,Heinous,1,Dominic Sethi,1,Rajata Narula,Xiti Bail,0,0,,Pending,BNS,Grievous Hurt; Murder,2026-04-20 06:00:00,2026-04-19 19:00:00,2026-04-20 00:00:00,12.904018,77.53325,Consequuntur dolorum ducimus impedit mollitia repellat veniam reprehenderit et blanditiis ipsam perspiciatis ipsa ut ut.
394,1.0001e+17,202600006,2026-01-15,Economic Offences,Criminal Breach of Trust,Vidhana Soudha Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,214,Jairaj,Police Constable,Reserve Sub-Inspector,Undetected,FIR,Non-Heinous,2,Zilmil Mishra; Finn Rana,1,Arya Dada,Amara Om,1,0,,Pending,BNS,Cheating; Mischief,2026-01-12 23:00:00,2026-01-12 12:00:00,2026-01-12 18:00:00,12.992681,77.53859,Dolorum quos non cum officiis animi maiores laborum quod sed recusandae suscipit earum iste quo assumenda consequuntur minus natus atque sint reprehenderit unde.
395,3.0001e+17,202600010,2026-07-03,Crimes Against Women,Dowry Harassment,Whitefield Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,73,Zinal,Head Constable,Crime Branch Officer,Closed - False Case,UDR,Non-Heinous,1,Jagvi Kurian,1,Chakradev Soman,Priya Behl,0,1,2026-09-28,Filed,BNS,Assault on Woman,2026-06-30 15:00:00,2026-06-30 03:00:00,2026-06-30 06:00:00,12.952458,77.485182,Ut dolorum voluptatum modi dignissimos delectus quae unde dicta dolores corporis dignissimos dolorem impedit dolores optio dolores eaque in.
396,1.0001e+17,202600009,2026-05-19,Cyber Crime,Hacking,Hennur Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,446,Ekbal,Police Constable,Station House Officer (SHO),Charge Sheeted,FIR,Non-Heinous,0,,0,,Oni Ramachandran,0,1,2026-07-21,Filed,IT Act,Cheating by Personation; Identity Theft,2026-05-17 13:00:00,2026-05-16 19:00:00,2026-05-17 01:00:00,13.030659,77.507367,Est dicta quidem qui reiciendis molestiae nihil minima expedita delectus minima.
397,1.0001e+17,202600008,2026-02-21,Crimes Against Body,Attempt to Murder,Kengeri Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,137,Aayush,Head Constable,Reserve Sub-Inspector,Closed - False Case,FIR,Non-Heinous,0,,1,Ladli Sodhi,Benjamin Issac,0,1,2026-05-14,Filed,BNS,Attempt to Murder,2026-02-21 05:00:00,2026-02-20 19:00:00,2026-02-20 21:00:00,12.921319,77.657619,Voluptatibus cumque at laboriosam quibusdam perspiciatis nesciunt earum eum earum cum facere quae.
398,1.0001e+17,202600012,2026-05-21,Cyber Crime,Cyberstalking,Sanjaynagar Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,166,Advik,Head Constable,Reserve Sub-Inspector,Under Investigation,FIR,Non-Heinous,3,Jagat Ravi; Gaurav Magar; Patrick Subramaniam,0,,Hemang Yadav,1,0,,Pending,IT Act,Cheating by Personation; Identity Theft,2026-05-21 10:00:00,2026-05-20 18:00:00,2026-05-20 23:00:00,13.054734,77.710373,Sed sapiente dolorum dolorem suscipit dolores nisi vel iure incidunt vero sint unde provident dolore aliquid.
399,1.0001e+17,202600008,2026-04-11,Crimes Against Property,Burglary/House-breaking,Byatarayanapura Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,181,Kalpit,Police Constable,Traffic Officer,Charge Sheeted,FIR,Non-Heinous,2,Lavanya Jayaraman; Aarush Lad,1,Rishi Sibal,Ladli Pillai,1,1,2026-06-01,Filed,BNS,Dacoity; Robbery; Theft,2026-04-09 08:00:00,2026-04-08 14:00:00,2026-04-08 20:00:00,12.935178,77.53105,Reprehenderit rem tempore facere doloremque maiores ut nostrum sit deserunt magni totam necessitatibus recusandae rem ipsam porro porro ipsa maxime.
400,1.0001e+17,202600009,2026-03-28,Crimes Against Women,Molestation,Halasuru Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,49,Fariq,Police Constable,Crime Branch Officer,Charge Sheeted,FIR,Heinous,0,,1,Aayush Sethi,Ishwar Merchant,0,1,2026-06-11,Filed,POCSO,Penetrative Sexual Assault,2026-03-27 05:00:00,2026-03-27 01:00:00,2026-03-27 01:00:00,13.08286,77.723494,Quisquam repellendus ea tenetur dolor fugiat illo asperiores ipsam suscipit esse quas perspiciatis.
401,1.0001e+17,202600013,2026-04-28,Economic Offences,Criminal Breach of Trust,Yeshwanthpur Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,200,Henry,Head Constable,Women's Cell Officer,Charge Sheeted,FIR,Non-Heinous,1,Maya Mani,1,Amaira Goyal,Janya Bava,1,1,2026-07-24,Filed,BNS,Cheating; Mischief,2026-04-27 10:00:00,2026-04-27 04:00:00,2026-04-27 10:00:00,12.90542,77.677093,Culpa ea aut deleniti harum quaerat totam nihil corporis fugiat corporis eius nemo magnam cupiditate eius tempore occaecati nobis eum error quis accusamus.
402,1.0001e+17,202600011,2026-06-16,Crimes Against Women,Stalking,Frazer Town Police Station,Police Station,Bangalore Urban,City Civil Court Bengaluru,428,Nitesh,Sub-Inspector (SI),Station House Officer (SHO),Under Investigation,FIR,Non-Heinous,1,Geetika Khurana,1,Michael Bhatnagar,Hardik Bhatti,1,0,,Pending,BNS; DP Act,Assault on Woman; Giving/Taking Dowry,2026-06-14 18:00:00,2026-06-14 08:00:00,2026-06-14 13:00:00,13.02903,77.555498,Totam iusto id placeat sit porro unde quos vero dolorum perferendis distinctio blanditiis exercitationem veniam eos est unde voluptatem.
403,1.0001e+17,202600010,2026-05-12,Crimes Against Body,Assault,Mathikere Police Station,Police Station,Bangalore Urban,City Civil Court Bengaluru,186,Girish,Asst Sub-Inspector (ASI),Investigating Officer (IO),Under Investigation,FIR,Heinous,1,Girik Soni,1,Falak Sridhar,Gaurav Hora,1,0,,Pending,BNS,Grievous Hurt,2026-05-10 06:00:00,2026-05-10 04:00:00,2026-05-10 04:00:00,12.860142,77.574693,Tempore nesciunt nisi cumque enim at adipisci sit nobis nam ut deserunt veniam cupiditate repellendus vel nam dolorum molestias sed error.
404,1.0001e+17,202600011,2026-04-25,Traffic & Motor Vehicle Offences,Rash Driving,Madivala Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,279,Matthew,Police Constable,Traffic Officer,Under Investigation,FIR,Non-Heinous,3,Parth Ganesh; Chatura Tella; Nathaniel Toor,1,Pooja Jaggi,Noah Chakraborty,1,0,,Pending,MV Act,Driving without Insurance,2026-04-24 19:00:00,2026-04-24 09:00:00,2026-04-24 15:00:00,12.926164,77.545244,Quae maiores excepturi cumque fugit eos neque error soluta itaque consequatur placeat ipsum ut.
405,1.0001e+17,202600005,2026-06-05,Crimes Against Body,Grievous Hurt,Banashankari Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,219,Jeet,Head Constable,Crime Branch Officer,Closed - False Case,FIR,Non-Heinous,1,Zehaan Chaudhuri,0,,Gopal Goel,0,1,2026-07-20,Filed,BNS,Attempt to Murder; Grievous Hurt; Murder,2026-06-05 06:00:00,2026-06-05 00:00:00,2026-06-05 02:00:00,13.041711,77.595784,Voluptatibus ad incidunt dicta cumque nihil veniam iusto nam praesentium.
406,4.0001e+17,202600007,2026-03-20,Economic Offences,Criminal Breach of Trust,Banasawadi Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,15,Ranveer,Sub-Inspector (SI),Cyber Cell Officer,Charge Sheeted,PAR,Non-Heinous,1,Yatin Reddy,1,Saksham Raj,Brijesh Sastry; Tripti Gulati,1,1,2026-05-31,Filed,BNS,Mischief,2026-03-18 16:00:00,2026-03-18 03:00:00,2026-03-18 06:00:00,12.924123,77.643572,Repellat beatae dolores eum laboriosam deserunt rem corporis dolorum similique repellat dolorum harum.
407,1.0001e+17,202600009,2026-03-28,Crimes Against Property,Criminal Trespass,Kengeri Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,138,Mason,Head Constable,Circle Inspector,Charge Sheeted,FIR,Non-Heinous,1,Devansh Datta,1,Chandani Pall,Anmol Bhagat,1,1,2026-05-15,Filed,BNS,Theft,2026-03-27 22:00:00,2026-03-27 08:00:00,2026-03-27 12:00:00,12.919268,77.662162,Totam aliquam neque voluptatibus illo sapiente fuga non unde libero natus modi odio sequi distinctio cum quidem.
408,1.0001e+17,202600009,2026-02-27,Cyber Crime,Hacking,Koramangala Police Station,Police Station,Bangalore Urban,Court of ACMM Bengaluru,272,Dakshesh,Deputy Superintendent of Police (DySP),Investigating Officer (IO),Closed - False Case,FIR,Non-Heinous,0,,1,Arjun Aurora,Pranav Ganesh,0,1,2026-03-28,Filed,IT Act,Cheating by Personation; Computer Related Offences; Identity Theft,2026-02-24 18:00:00,2026-02-24 04:00:00,2026-02-24 10:00:00,12.927762,77.624539,Deserunt earum aspernatur repellendus fuga tempora id reprehenderit dolores veritatis nulla iure ducimus repellat repellat.
409,4.0001e+17,202600005,2026-04-09,Narcotics & NDPS,Drug Trafficking,Ramamurthy Nagar Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,29,Kiaan,Police Constable,Station House Officer (SHO),Disposed by Court,PAR,Non-Heinous,2,Arin Koshy; Vasatika Korpal,1,Geetika Kamdar,Nilima Varty,1,1,2026-06-28,Filed,NDPS Act,Consumption of Narcotic Drug; Possession of Manufactured Drugs; Possession/Sale of Cannabis,2026-04-06 14:00:00,2026-04-06 08:00:00,2026-04-06 09:00:00,13.077059,77.596825,At nesciunt iste nobis suscipit suscipit quos eligendi libero commodi sapiente.
410,1.0001e+17,202600012,2026-03-03,Crimes Against Body,Grievous Hurt,Hebbagodi Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,81,Jeevika,Asst Sub-Inspector (ASI),Crime Branch Officer,Under Investigation,FIR,Heinous,1,Samar Agate,1,Dev Dass,Advaith Chaudhry,0,0,,Pending,BNS,Grievous Hurt,2026-03-01 10:00:00,2026-03-01 04:00:00,2026-03-01 05:00:00,12.995801,77.471289,Nulla sunt tempore et tempora et placeat culpa odit error voluptatum pariatur harum vitae blanditiis quia officiis accusantium itaque.
411,1.0001e+17,202600009,2026-05-27,Economic Offences,Criminal Breach of Trust,K.G. Halli Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,413,Naveen,Head Constable,Crime Branch Officer,Under Investigation,FIR,Non-Heinous,1,Henry Shroff,3,Lucky Johal; Anirudh Rana; Meghana Banerjee,Victor Khatri,0,0,,Pending,BNS,Cheating,2026-05-26 10:00:00,2026-05-26 01:00:00,2026-05-26 05:00:00,12.954863,77.54038,Magnam illo eum at dolore porro vero ex aspernatur totam perferendis rem ducimus ex ex voluptatum.
412,1.0001e+17,202600006,2026-02-17,Economic Offences,Counterfeiting,Kalasipalya Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,342,Bhanumati,Head Constable,Crime Branch Officer,Closed - False Case,FIR,Non-Heinous,1,Gunbir Deshpande,3,Ganga Shukla; Vanya Puri; Abeer Rajagopal,Yashoda Lanka,1,1,2026-05-10,Filed,BNS,Mischief,2026-02-14 09:00:00,2026-02-14 04:00:00,2026-02-14 08:00:00,13.023778,77.589162,Dolorem dolore sequi nobis repudiandae eveniet molestias tempora quis provident quo ea suscipit a velit cumque sed cum maiores.
413,1.0001e+17,202600010,2026-01-05,Crimes Against Public Order,Rioting,K.G. Halli Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,414,Jagdish,Asst Sub-Inspector (ASI),Cyber Cell Officer,Undetected,FIR,Non-Heinous,0,,1,Gabriel Ranganathan,Jyoti Vohra,0,0,,Pending,BNS,Criminal Intimidation,2026-01-04 00:00:00,2026-01-03 13:00:00,2026-01-03 13:00:00,12.943861,77.498458,Quas dicta deleniti natus totam voluptatibus possimus beatae doloremque vitae voluptate nemo nisi ratione officiis tenetur ipsum eveniet.
414,3.0001e+17,202600014,2026-04-29,Economic Offences,Cheating,Yeshwanthpur Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,196,Ranveer,Sub-Inspector (SI),Circle Inspector,Undetected,UDR,Non-Heinous,1,Dhruv Sani,0,,Darpan Jayaraman,1,0,,Pending,BNS,Cheating,2026-04-28 09:00:00,2026-04-27 21:00:00,2026-04-28 02:00:00,12.999293,77.568027,Minus dolorem occaecati laboriosam a quidem rem voluptates velit praesentium iure eaque provident in eum blanditiis non quae quo.
415,1.0001e+17,202600010,2026-04-12,Economic Offences,Forgery,Hennur Police Station,Police Station,Bangalore Urban,Court of ACMM Bengaluru,446,Ekbal,Police Constable,Station House Officer (SHO),Charge Sheeted,FIR,Non-Heinous,1,Gopal Prabhakar,2,Indrajit Zacharia; Theodore Nath,Nachiket Chhabra,0,1,2026-06-12,Filed,BNS,Mischief,2026-04-11 07:00:00,2026-04-10 20:00:00,2026-04-10 21:00:00,13.010101,77.481763,Occaecati ea natus quisquam exercitationem officiis nobis tenetur quod pariatur molestias.
416,1.0001e+17,202600010,2026-06-19,Crimes Against Women,Domestic Violence,Koramangala Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,269,Ikbal,Police Constable,Reserve Sub-Inspector,Charge Sheeted,FIR,Non-Heinous,1,Yashoda Rajagopalan,1,Rachana Bail,Jatin Chand,1,1,2026-09-01,Filed,BNS; DP Act; POCSO,Assault on Woman; Giving/Taking Dowry; Penetrative Sexual Assault,2026-06-16 15:00:00,2026-06-16 03:00:00,2026-06-16 05:00:00,12.959237,77.618837,Eos nisi veritatis animi autem minima consectetur eligendi commodi sit architecto temporibus quasi ea vel modi aliquam laboriosam.
417,1.0001e+17,202600005,2026-03-04,Cyber Crime,Cyberstalking,Chamarajpet Police Station,Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,308,Abhiram,Police Constable,Circle Inspector,Under Investigation,FIR,Non-Heinous,2,Andrew Atwal; Ryan Cherian,0,,Qushi Boase,1,0,,Pending,IT Act,Computer Related Offences; Identity Theft,2026-03-04 03:00:00,2026-03-03 16:00:00,2026-03-03 22:00:00,12.958896,77.4526,Libero eligendi culpa asperiores molestiae minima deleniti minus aspernatur error pariatur corrupti minima consequatur sunt distinctio ut ullam vitae.
418,1.0001e+17,202600012,2026-04-26,Crimes Against Body,Assault,Frazer Town Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,419,Forum,Asst Sub-Inspector (ASI),Women's Cell Officer,Charge Sheeted,FIR,Non-Heinous,1,Daksh Vaidya,2,Lila Grewal; Avni Aurora,Rachita Apte,0,1,2026-05-11,Filed,BNS,Grievous Hurt,2026-04-25 08:00:00,2026-04-24 20:00:00,2026-04-24 21:00:00,13.040741,77.560537,Voluptatem iusto ipsum ab cum possimus repudiandae maxime aliquid repellendus rem odit voluptatibus in eius quia dolorem reiciendis.
419,1.0001e+17,202600012,2026-06-28,Crimes Against Property,Criminal Trespass,Madivala Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,273,Finn,Police Sub-Inspector (PSI),Circle Inspector,Pending Trial,FIR,Non-Heinous,1,Akshay Hans,0,,Adya Sridhar,1,0,,Pending,BNS,Burglary; Robbery; Theft,2026-06-27 20:00:00,2026-06-27 06:00:00,2026-06-27 10:00:00,12.935757,77.722359,Consequuntur quae nam molestiae quisquam totam voluptatibus minima accusamus quis voluptate in nisi at recusandae.
420,1.0001e+17,202600007,2026-03-12,Crimes Against Property,Dacoity,BTM Layout Police Station,Police Station,Bangalore Urban,Metropolitan Magistrate Court Bengaluru,265,Jatin,Police Constable,Traffic Officer,Closed - False Case,FIR,Non-Heinous,2,Atharv Sehgal; Ranbir Mammen,3,Yoshita Saini; Darpan Pradhan; Sanaya Palla,Umang Samra,1,1,2026-04-22,Filed,BNS,Burglary,2026-03-11 13:00:00,2026-03-11 07:00:00,2026-03-11 09:00:00,13.052329,77.565515,Doloribus nesciunt omnis eius error nisi dolorum magnam dolore suscipit qui ex quidem culpa ullam enim rerum incidunt.
